id,element,pd,auto,conformance,cardinality,values,page
13.3.1,Category of AHD,,,Required,0..*,Coded Value,106
13.3.2,Attachment,,,Mandatory,0..1,Attachment,107
13.4,Note,,,Optional,0..1,Free text,107
14.1,Generated Narrative,,,Optional,0..1,Free text,109
14.2,Travel and communicable disease history (record entry),,,Required,0..*,,109
14.2.1,Infectious agent,,,Required,0..*,Coded value,109
14.2.2,Time period,,,Required,0..*,Period,109
14.2.3,Country visited,,,Mandatory,1..*,Coded value,110
14.2.4,Proximity,,,Optional,0..*,Free text,110
14.2.5,Current Infection control status,,,Required,0..*,Coded value,110
14.3,Note,,,Optional,0..1,Free text,110
15.1,Generated Narrative,,,Optional,0..1,Free text,112
15.2,Current Pregnancy (record entry),,,Required,0..*,,112
15.2.1,Date of status,,,Mandatory,0..1,Datetime,112
15.2.2,Pregnancy Status,,,Mandatory,1..1,Coded value,112
15.2.3,Expected delivery date (EDD),,,Mandatory,1..1,Datetime,112
15.2.4,Gestational age,,,Mandatory,1..1,Quantity,113
15.2.5,Note,,,Optional,0..1,Free text,113
15.3,Pregnancy History (record entry),,,Required,0..*,,113
15.3.1,End date of the pregnancy,,,Mandatory,1..1,Datetime,113
15.3.2,Outcome of the pregnancy,,,Mandatory,1..1,Coded value,114
15.3.3,Number of foetuses in specific pregnancy,,,Mandatory,1..1,Coded value,114
15.3.4,Note,,,Optional,0..1,Free text,114
16.1,Generated Narrative,,,Optional,0..1,Free text,116
16.2,Immunisations administered empty reason,,,Required,1..1,Coded value,116
16.3,Immunisations (record entry),,,Required,0..*,,116
16.3.1,Immunisation status,,,Mandatory,1..1,Coded value,116
16.3.2,Date and time of Immunisation,,,Mandatory,1..1,Datetime,116
16.3.3,Administered product,,,Mandatory,1..1,Coded value,117
16.3.4,Target disease of immunisation,,,Required,0..*,Coded value,117
16.3.5,Vaccine code,,,Mandatory,1..1,Coded value,117
16.3.6,Number of doses,,,Required,0..1,Coded value,117
16.3.7,Immunisation administrator,,,Required,0..1,,118
16.3.8,Administering Centre,,,Required,0..1,,118
16.4,Note,,,Optional,0..1,Free text,118
17.1,Generated Narrative,,,Optional,0..1,Free text,120
17.2,Functional status,,,Required,0..*,Coded value,120
17.3,Condition related to functional status,,,Required,0..*,Coded value,120
17.4,Functional Assessment (record entry),,,Required,0..*,,120
17.4.1,Date of functional assessment,,,Mandatory,1..1,Datetime,121
17.4.2,Functional assessment type,,,Mandatory,1..1,Coded value,121
17.4.3,Functional Assessment Result (cluster),,,Mandatory,1..1,,121
17.4.3.1,Result value code,,,Required,0..1,Coded value,122
17.4.3.2,Result value text,,,Required,0..1,Free text,122
17.4.3.3,Result value quantity,,,Required,0..1,Quantity,122
17.4.3.4,Result value range,,,Required,0..1,Range,122
17.4.3.5,Result value ratio,,,Required,0..1,Ratio,123
17.5,Note,,,Optional,0..1,Free text,123
18.1,Generated Narrative,,,Optional,0..1,Free text,125
18.2,Care Plan (record entry),,,Required,0..1,,125
18.2.1,Name of care plan,,,Required,0..1,Coded value,125
18.2.2,Description of the care plan,,,Required,0..*,Free text,125
18.2.3,Care plan period,,,Optional,0..1,Period,126
18.2.4,Condition related to the care plan,,,Optional,0..*,Coded value,126
18.2.5,Care plan activity (cluster) 18.2.5 Care plan activity (cluster),,,Optional,0..*,,127
18.2.5.1,Care plan activity type,,,Optional,0..*,Coded value,127
18.2.5.2,Care plan specific activity,,,Optional,0..*,Free text,127
18.2.6,Care plan goal,,,Optional,0..*,Coded value,127
18.3,"Education, advice and recommendations for patient",,,Optional,0..*,Free text,127
18.4,Patient home supports identified,,,Required,0..*,Free Text,128
18.5,"Patient concerns, expectations and wishes",,,Optional,0..*,Free text,129
18.6,Note,,,Optional,0..1,Free text,129
19.1.1,Document subject (Patient),,,Mandatory,1..1,,132
19.1.2,Document identifier,,,Mandatory,1..*,Alpha-numeric,132
19.1.3,Document author,,,Mandatory,1..*,,132
19.1.4,Document date,,,Mandatory,1..1,Datetime,133
19.1.5,Document status,,,Mandatory,1..1,Coded value,133
19.1.6,Document language,,,Optional,0..1,Coded value,134
19.1.7,Document type,,,Mandatory,1..1,Coded value,134
19.1.8,Document title,,,Mandatory,1..1,Free text,134
19.1.9,Document period,,,Optional,0..1,Period,135
19.1.10,Version,,,Optional,0..1,Alpha-numeric,135
19.1.11,Attestation (Cluster),,,Optional,0..*,,135
19.1.11.1,Attester,,,Mandatory,1..1,,135
19.1.11.2,Attestation date and time,,,Mandatory,1..1,Datetime,136
19.1.12,Legal authentication (Cluster),,,Optional,0..*,,136
19.1.12.1,Legal authenticator,,,Mandatory,0..1,,137
19.1.12.2,Authentication date and time,,,Mandatory,0..1,Datetime,137
19.1.13,Event type,,,Optional,0..*,Coded value,138
19.1.14,Service speciality,,,Optional,0..*,Coded value,138
19.1.15,Custodian,,,Optional,0..1,,138
19.1.16,Attachment,,,Optional,0..*,Attachment,138
19.2.1,Entry subject (Patient),,,Mandatory,1..1,,141
19.2.2,Entry identifier,,,Optional,0..*,Alpha-numeric,141
19.2.3,Entry author,,,Required,0..*,,141
19.2.4,Entry date,,,Required,0..1,Datetime,142
19.2.5,Entry source,,,Optional,0..1,Coded value,142
19.2.6,Entry language,,,Optional,0..1,Coded value,143
